menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Featured items,,,,Chicken Sandwich,25.40,standard,"Hot dipped fried chicken, iceberg, cheese and sauce.",,,
,Menu,,,,Featured items,,,,Cheeseburger,26.20,standard,"Local Hereford prime beef, pickles, cheese, onion, mustard, mayonnaise and ketchup.",,,
,Menu,,,,Featured items,,,,Banoffee pie,12.40,standard,A slice of Banoffee pie.,,,
,Menu,,,,Featured items,,,,The Basic Fried Chicken,21.00,standard,"Free range boneless bites, brined for twelve hours and fried in buttermilk. Served with ranch and McClure's pickles.",,,
,Menu,,,,Featured items,,,,White BBQ Chicken and Bacon,29.80,standard,"Hot dipped fried chicken, bacon, cheese, slaw, tobacco onions and white BBQ sauce.",,,
,Menu,,,,Featured items,,,,Fire Roasted Chicken (GF),17.80,standard,Brined and slow roasted free range. Served with gravy.,,,
,Menu,,,,Featured items,,,,Bites and Fries,15.90,standard,Free range boneless chicken bites and fried in buttermilk.,,,
,Menu,,,,Featured items,,,,Straight Cut Fries (VG),10.50,standard,vegan and gluten free,,,
,Menu,,,,Featured items,,,,Hot Dipped Fried Chicken,21.00,standard,"Free range boneless bites, brined for twelve hours and fried in buttermilk. Served with ranch and McClure's pickles.",,,
,Menu,,,,Featured items,,,,Feed Yourself Fire Roasted Chicken,26.90,standard,"Quarter chicken, one side or cabinet salad. Brined and slow roasted free range. Served with gravy.",,,
